Mount Agent On:
Mount Agent.AGENT_LIMITS.HA_TRACKING = 1.872397
Mount Agent.AGENT_LIMITS.LOCAL_TIME = 21.358611
Mount Agent.AGENT_LIMITS.COORDINATES_PROPAGATE_THESHOLD = 0.001389
Mount Agent.GEOGRAPHIC_COORDINATES.LATITUDE = 39.099722
Mount Agent.GEOGRAPHIC_COORDINATES.LONGITUDE = 265.421389
Mount Agent.GEOGRAPHIC_COORDINATES.ELEVATION = 150.000000
Mount Agent.AGENT_MOUNT_EQUATORIAL_COORDINATES.RA = 15.717550
Mount Agent.AGENT_MOUNT_EQUATORIAL_COORDINATES.DEC = 79.112793
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.RA_JNOW = 15.698788
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.DEC_JNOW = 79.032265
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.ALT = 48.539641
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.AZ = 352.224957
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.AIRMASS = 1.314020
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.HA = 1.872397
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.RISE = 0.000000
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.TRANSIT = 0.491335
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.SET = 24.000000
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.TIME_TO_TRANSIT = 10.099950
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.FLIP_REQUIRED = 0.000000
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.PARALLACTIC_ANGLE = 146.508067
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.DEROTATION_RATE = 17.467566
Mount Agent.AGENT_LIMITS.HA_TRACKING = 1.872397
Mount Agent.AGENT_LIMITS.LOCAL_TIME = 21.358611
Mount Agent.AGENT_LIMITS.COORDINATES_PROPAGATE_THESHOLD = 0.001389
Mount Agent.FILTER_MOUNT_LIST.NONE = OFF
Mount Agent.FILTER_MOUNT_LIST.Mount SynScan = ON
Mount Agent.FILTER_DOME_LIST.NONE = ON
Mount Agent.FILTER_GPS_LIST.NONE = ON
Mount Agent.FILTER_JOYSTICK_LIST.NONE = ON
Mount Agent.FILTER_RELATED_AGENT_LIST.Scripting Agent = OFF
Mount Agent.MOUNT_POLARSCOPE.BRIGHTNESS = 255.000000
Mount Agent.MOUNT_INFO.VENDOR = "Sky-Watcher SynScan"
Mount Agent.MOUNT_INFO.MODEL = "HEQ5"
Mount Agent.MOUNT_INFO.FIRMWARE_VERSION = "2.04"
Mount Agent.MOUNT_GEOGRAPHIC_COORDINATES.LATITUDE = 39.099722
Mount Agent.MOUNT_GEOGRAPHIC_COORDINATES.LONGITUDE = 265.421389
Mount Agent.MOUNT_GEOGRAPHIC_COORDINATES.ELEVATION = 150.000000
Mount Agent.MOUNT_LST_TIME.TIME = 17.571185
Mount Agent.MOUNT_PARK.PARKED = OFF
Mount Agent.MOUNT_PARK.UNPARKED = ON
Mount Agent.MOUNT_PARK_SET.CURRENT = OFF
Mount Agent.MOUNT_PARK_SET.DEFAULT = OFF
Mount Agent.MOUNT_PARK_POSITION.HA = 6.000000
Mount Agent.MOUNT_PARK_POSITION.DEC = 90.000000
Mount Agent.MOUNT_HOME.HOME = OFF
Mount Agent.MOUNT_HOME_SET.CURRENT = OFF
Mount Agent.MOUNT_HOME_SET.DEFAULT = OFF
Mount Agent.MOUNT_HOME_POSITION.HA = 6.000000
Mount Agent.MOUNT_HOME_POSITION.DEC = 90.000000
Mount Agent.MOUNT_SLEW_RATE.GUIDE = ON
Mount Agent.MOUNT_SLEW_RATE.CENTERING = OFF
Mount Agent.MOUNT_SLEW_RATE.FIND = OFF
Mount Agent.MOUNT_SLEW_RATE.MAX = OFF
Mount Agent.MOUNT_MOTION_DEC.NORTH = OFF
Mount Agent.MOUNT_MOTION_DEC.SOUTH = OFF
Mount Agent.MOUNT_MOTION_RA.WEST = OFF
Mount Agent.MOUNT_MOTION_RA.EAST = OFF
Mount Agent.MOUNT_TRACK_RATE.SIDEREAL = ON
Mount Agent.MOUNT_TRACK_RATE.SOLAR = OFF
Mount Agent.MOUNT_TRACK_RATE.LUNAR = OFF
Mount Agent.MOUNT_TRACKING.ON = OFF
Mount Agent.MOUNT_TRACKING.OFF = ON
Mount Agent.MOUNT_GUIDE_RATE.RA = 50.000000
Mount Agent.MOUNT_GUIDE_RATE.DEC = 50.000000
Mount Agent.MOUNT_ON_COORDINATES_SET.TRACK = ON
Mount Agent.MOUNT_ON_COORDINATES_SET.SYNC = OFF
Mount Agent.MOUNT_ON_COORDINATES_SET.SLEW = OFF
Mount Agent.AGENT_MOUNT_EQUATORIAL_COORDINATES.RA = 15.717550
Mount Agent.AGENT_MOUNT_EQUATORIAL_COORDINATES.DEC = 79.112793
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.RA_JNOW = 15.698788
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.DEC_JNOW = 79.032265
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.ALT = 48.539641
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.AZ = 352.224957
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.AIRMASS = 1.314020
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.HA = 1.872397
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.RISE = 0.000000
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.TRANSIT = 0.491335
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.SET = 24.000000
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.TIME_TO_TRANSIT = 10.099950
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.FLIP_REQUIRED = 0.000000
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.PARALLACTIC_ANGLE = 146.508067
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.DEROTATION_RATE = 17.467566
Mount Agent.AGENT_LIMITS.HA_TRACKING = 1.872397
Mount Agent.AGENT_LIMITS.LOCAL_TIME = 21.358611
Mount Agent.AGENT_LIMITS.COORDINATES_PROPAGATE_THESHOLD = 0.001389
Mount Agent.MOUNT_EQUATORIAL_COORDINATES.RA = 15.717550
Mount Agent.MOUNT_EQUATORIAL_COORDINATES.DEC = 79.112793
Mount Agent.MOUNT_HORIZONTAL_COORDINATES.AZ = 352.224957
Mount Agent.MOUNT_HORIZONTAL_COORDINATES.ALT = 48.539641
Mount Agent.MOUNT_ABORT_MOTION.ABORT_MOTION = OFF
Mount Agent.MOUNT_ALIGNMENT_MODE.SINGLE_POINT = OFF
Mount Agent.MOUNT_ALIGNMENT_MODE.NEAREST_POINT = ON
Mount Agent.MOUNT_RAW_COORDINATES.RA = 8.224786
Mount Agent.MOUNT_RAW_COORDINATES.DEC = -59.162832
Mount Agent.MOUNT_ALIGNMENT_SELECT_POINTS.0 = ON
Mount Agent.MOUNT_ALIGNMENT_SELECT_POINTS.1 = ON
Mount Agent.MOUNT_ALIGNMENT_SELECT_POINTS.2 = ON
Mount Agent.MOUNT_ALIGNMENT_SELECT_POINTS.3 = ON
Mount Agent.MOUNT_ALIGNMENT_SELECT_POINTS.4 = ON
Mount Agent.MOUNT_ALIGNMENT_SELECT_POINTS.5 = ON
Mount Agent.MOUNT_ALIGNMENT_DELETE_POINTS.ALL = OFF
Mount Agent.MOUNT_ALIGNMENT_DELETE_POINTS.0 = OFF
Mount Agent.MOUNT_ALIGNMENT_DELETE_POINTS.1 = OFF
Mount Agent.MOUNT_ALIGNMENT_DELETE_POINTS.2 = OFF
Mount Agent.MOUNT_ALIGNMENT_DELETE_POINTS.3 = OFF
Mount Agent.MOUNT_ALIGNMENT_DELETE_POINTS.4 = OFF
Mount Agent.MOUNT_ALIGNMENT_DELETE_POINTS.5 = OFF
Mount Agent.MOUNT_ALIGNMENT_RESET.RESET = OFF
Mount Agent.MOUNT_EPOCH.EPOCH = 2000.000000
Mount Agent.AGENT_MOUNT_EQUATORIAL_COORDINATES.RA = 15.717550
Mount Agent.AGENT_MOUNT_EQUATORIAL_COORDINATES.DEC = 79.112793
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.RA_JNOW = 15.698788
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.DEC_JNOW = 79.032265
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.ALT = 48.539641
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.AZ = 352.224957
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.AIRMASS = 1.314020
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.HA = 1.872397
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.RISE = 0.000000
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.TRANSIT = 0.491335
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.SET = 24.000000
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.TIME_TO_TRANSIT = 10.099950
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.FLIP_REQUIRED = 0.000000
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.PARALLACTIC_ANGLE = 146.508067
Mount Agent.AGENT_MOUNT_DISPLAY_COORDINATES_PROPERTY.DEROTATION_RATE = 17.467566
Mount Agent.AGENT_LIMITS.HA_TRACKING = 1.872397
Mount Agent.AGENT_LIMITS.LOCAL_TIME = 21.358611
Mount Agent.AGENT_LIMITS.COORDINATES_PROPAGATE_THESHOLD = 0.001389
Mount Agent.MOUNT_SIDE_OF_PIER.EAST = OFF
Mount Agent.MOUNT_SIDE_OF_PIER.WEST = ON
Mount Agent.MOUNT_SNOOP_DEVICES.JOYSTICK = ""
Mount Agent.MOUNT_SNOOP_DEVICES.GPS = ""
Mount Agent.MOUNT_INFO.VENDOR = "Sky-Watcher SynScan"
Mount Agent.MOUNT_INFO.MODEL = "HEQ5"
Mount Agent.MOUNT_INFO.FIRMWARE_VERSION = "2.04"
Mount Agent.MOUNT_CONFIG.LOAD = OFF
Mount Agent.MOUNT_CONFIG.SAVE = OFF
Mount Agent.MOUNT_CONFIG.REMOVE = OFF
Mount Agent.MOUNT_PROFILE_NAME.NAME_0 = "Profile #0"
Mount Agent.MOUNT_PROFILE_NAME.NAME_1 = "Profile #1"
Mount Agent.MOUNT_PROFILE_NAME.NAME_2 = "Profile #2"
Mount Agent.MOUNT_PROFILE_NAME.NAME_3 = "Profile #3"
Mount Agent.MOUNT_PROFILE_NAME.NAME_4 = "Profile #4"
Mount Agent.MOUNT_PROFILE.PROFILE_0 = ON
Mount Agent.MOUNT_PROFILE.PROFILE_1 = OFF
Mount Agent.MOUNT_PROFILE.PROFILE_2 = OFF
Mount Agent.MOUNT_PROFILE.PROFILE_3 = OFF
Mount Agent.MOUNT_PROFILE.PROFILE_4 = OFF
Mount Agent.MOUNT_DEVICE_PORT.PORT = "/dev/ttyUSB0"
Mount Agent.MOUNT_DEVICE_BAUDRATE.BAUDRATE = "9600-8N1"
Mount Agent.MOUNT_DEVICE_PORTS.REFRESH = OFF
Mount Agent.MOUNT_DEVICE_PORTS./dev/ttyUSB0 = OFF
Mount Agent.MOUNT_DEVICE_PORTS./dev/ttyACM0 = OFF
Mount Agent.MOUNT_DEVICE_PORTS./dev/serial0 = OFF
Mount Agent.MOUNT_DEVICE_PORTS./dev/ttyAMA0 = OFF
Mount Agent.MOUNT_DEVICE_PORTS./dev/ttyAMA10 = OFF
Mount Agent.MOUNT_ADDITIONAL_INSTANCES.COUNT = 0.000000
Mount Agent.FILTER_FORCE_SYMMETRIC_RELATIONS.ENABLED = ON
Mount Agent.FILTER_FORCE_SYMMETRIC_RELATIONS.DISABLED = OFF
Mount Agent.INFO.DEVICE_NAME = "Mount Agent"
Mount Agent.INFO.DEVICE_DRIVER = "indigo_agent_mount"
Mount Agent.INFO.DEVICE_VERSION = "2.0.0.19"
Mount Agent.INFO.DEVICE_INTERFACE = "114785"
Mount Agent.ADDITIONAL_INSTANCES.COUNT = 0.000000
Scripting Agent.AGENT_SCRIPTING_RUN_SCRIPT.SCRIPT = ""
Scripting Agent.AGENT_SCRIPTING_ADD_SCRIPT.NAME = ""
Scripting Agent.AGENT_SCRIPTING_ADD_SCRIPT.SCRIPT = ""
Scripting Agent.AGENT_SCRIPTING_EXECUTE_SCRIPT.AGENT_SCRIPTING_SCRIPT_1 = OFF
Scripting Agent.AGENT_SCRIPTING_EXECUTE_SCRIPT.AGENT_SCRIPTING_SCRIPT_2 = OFF
Scripting Agent.AGENT_SCRIPTING_EXECUTE_SCRIPT.AGENT_SCRIPTING_SCRIPT_0 = OFF
Scripting Agent.AGENT_SCRIPTING_DELETE_SCRIPT.NAME = ""
Scripting Agent.AGENT_SCRIPTING_ON_LOAD_SCRIPT.AGENT_SCRIPTING_ADD_SCRIPT = OFF
Scripting Agent.AGENT_SCRIPTING_ON_LOAD_SCRIPT.AGENT_SCRIPTING_SCRIPT_1 = OFF
Scripting Agent.AGENT_SCRIPTING_ON_LOAD_SCRIPT.AGENT_SCRIPTING_SCRIPT_2 = OFF
Scripting Agent.AGENT_SCRIPTING_ON_LOAD_SCRIPT.AGENT_SCRIPTING_SCRIPT_0 = OFF
Scripting Agent.AGENT_SCRIPTING_ON_UNLOAD_SCRIPT.AGENT_SCRIPTING_ADD_SCRIPT = OFF
Scripting Agent.AGENT_SCRIPTING_ON_UNLOAD_SCRIPT.AGENT_SCRIPTING_SCRIPT_1 = OFF
Scripting Agent.AGENT_SCRIPTING_ON_UNLOAD_SCRIPT.AGENT_SCRIPTING_SCRIPT_2 = OFF
Scripting Agent.AGENT_SCRIPTING_ON_UNLOAD_SCRIPT.AGENT_SCRIPTING_SCRIPT_0 = OFF
Scripting Agent.AGENT_SCRIPTING_SCRIPT_0.NAME = "helloworld"
Scripting Agent.AGENT_SCRIPTING_SCRIPT_0.SCRIPT = "indigo_log(“Hello world”);"
Scripting Agent.AGENT_SCRIPTING_SCRIPT_1.NAME = "demo1"
Scripting Agent.AGENT_SCRIPTING_SCRIPT_1.SCRIPT = "// Initialize global variables
var trackingTimer;
