nkahassai@KAHASSAI-UNC:~$ indigo_prop_tool list
Server.DRIVERS.indigo_wheel_optec = OFF
Server.DRIVERS.indigo_aux_flipflat = OFF
Server.DRIVERS.indigo_focuser_optecfl = OFF
Server.DRIVERS.indigo_rotator_optec = OFF
Server.DRIVERS.indigo_focuser_optec = OFF
Server.DRIVERS.indigo_ccd_ssg = OFF
Server.DRIVERS.indigo_focuser_dmfc = OFF
Server.DRIVERS.indigo_rotator_falcon = OFF
Server.DRIVERS.indigo_aux_flatmaster = OFF
Server.DRIVERS.indigo_focuser_fc3 = OFF
Server.DRIVERS.indigo_wheel_indigo = OFF
Server.DRIVERS.indigo_aux_ppb = OFF
Server.DRIVERS.indigo_focuser_prodigy = OFF
Server.DRIVERS.indigo_aux_upb = OFF
Server.DRIVERS.indigo_aux_upb3 = OFF
Server.DRIVERS.indigo_aux_uch = OFF
Server.DRIVERS.indigo_ccd_playerone = OFF
Server.DRIVERS.indigo_wheel_playerone = OFF
Server.DRIVERS.indigo_mount_pmc8 = OFF
Server.DRIVERS.indigo_focuser_primaluce = OFF
Server.DRIVERS.indigo_ccd_ptp = OFF
Server.DRIVERS.indigo_ccd_qhy = OFF
Server.DRIVERS.indigo_wheel_qhy = OFF
Server.DRIVERS.indigo_ccd_qhy2 = OFF
Server.DRIVERS.indigo_focuser_qhy = OFF
Server.DRIVERS.indigo_ccd_qsi = OFF
Server.DRIVERS.indigo_mount_rainbow = OFF
Server.DRIVERS.indigo_aux_rpio = OFF
Server.DRIVERS.indigo_focuser_nfocus = OFF
Server.DRIVERS.indigo_focuser_nstep = ON
Server.DRIVERS.indigo_ccd_rising = OFF
Server.DRIVERS.indigo_focuser_robofocus = OFF
Server.DRIVERS.indigo_aux_rts = OFF
Server.DRIVERS.indigo_ccd_sbig = OFF
Server.DRIVERS.indigo_agent_scripting = ON
Server.DRIVERS.indigo_aux_dsusb = OFF
Server.DRIVERS.indigo_focuser_fcusb = OFF
Server.DRIVERS.indigo_guider_gpusb = OFF
Server.DRIVERS.indigo_agent_snoop = OFF
Server.DRIVERS.indigo_ccd_ssag = OFF
Server.DRIVERS.indigo_ccd_sx = OFF
Server.DRIVERS.indigo_wheel_sx = OFF
Server.DRIVERS.indigo_ao_sx = OFF
Server.DRIVERS.indigo_ccd_svb2 = OFF
Server.DRIVERS.indigo_ccd_svb = OFF
Server.DRIVERS.indigo_mount_synscan = OFF
Server.DRIVERS.indigo_mount_temma = OFF
Server.DRIVERS.indigo_dome_talon6ror = OFF
Server.DRIVERS.indigo_ccd_touptek = OFF
Server.DRIVERS.indigo_wheel_trutek = OFF
Server.DRIVERS.indigo_aux_sqm = OFF
Server.DRIVERS.indigo_aux_usbdp = OFF
Server.DRIVERS.indigo_focuser_usbv3 = OFF
Server.DRIVERS.indigo_ccd_uvc = OFF
Server.DRIVERS.indigo_mount_starbook = OFF
Server.DRIVERS.indigo_rotator_wa = OFF
Server.DRIVERS.indigo_aux_wbplusv3 = OFF
Server.DRIVERS.indigo_aux_wbprov3 = OFF
Server.DRIVERS.indigo_aux_wcv4ec = OFF
Server.DRIVERS.indigo_focuser_wemacro = OFF
Server.DRIVERS.indigo_wheel_xagyl = OFF
Server.DRIVERS.indigo_mount_asi = OFF
Server.DRIVERS.indigo_ccd_asi = OFF
Server.DRIVERS.indigo_wheel_asi = OFF
Server.DRIVERS.indigo_focuser_asi = OFF
Server.DRIVERS.indigo_guider_asi = OFF
Server.DRIVERS.indigo_rotator_asi = OFF
Server.DRIVERS.indigo_aux_asiair = OFF
Server.LOAD.DRIVER = ""
Server.UNLOAD.DRIVER = ""
Server.RESTART.RESTART = OFF
Server.LOG_LEVEL.ERROR = ON
Server.LOG_LEVEL.INFO = OFF
Server.LOG_LEVEL.DEBUG = OFF
Server.LOG_LEVEL.TRACE_BUS = OFF
Server.LOG_LEVEL.TRACE = OFF
Server.BLOB_BUFFERING.DISABLED = OFF
Server.BLOB_BUFFERING.ENABLED = ON
Server.BLOB_BUFFERING.COMPRESSION = OFF
Server.BLOB_PROXY.DISABLED = ON
Server.BLOB_PROXY.ENABLED = OFF
Server.FEATURES.BONJOUR = ON
Server.FEATURES.CTRL_PANEL = ON
Server.FEATURES.WEB_APPS = ON
Scripting Agent.AGENT_SCRIPTING_RUN_SCRIPT.SCRIPT = ""
Scripting Agent.AGENT_SCRIPTING_ADD_SCRIPT.NAME = ""
Scripting Agent.AGENT_SCRIPTING_ADD_SCRIPT.SCRIPT = ""
Scripting Agent.AGENT_SCRIPTING_DELETE_SCRIPT.NAME = ""
Scripting Agent.AGENT_SCRIPTING_ON_LOAD_SCRIPT.AGENT_SCRIPTING_ADD_SCRIPT = OFF
Scripting Agent.AGENT_SCRIPTING_ON_UNLOAD_SCRIPT.AGENT_SCRIPTING_ADD_SCRIPT = OFF
Scripting Agent.INFO.DEVICE_NAME = "Scripting Agent"
Scripting Agent.INFO.DEVICE_DRIVER = "indigo_agent_scripting"
Scripting Agent.INFO.DEVICE_VERSION = "2.0.0.9"
Scripting Agent.INFO.DEVICE_INTERFACE = "16384"
Mount Simulator.MOUNT_INFO.VENDOR = "Unknown"
Mount Simulator.MOUNT_INFO.MODEL = "Unknown"
Mount Simulator.MOUNT_INFO.FIRMWARE_VERSION = "N/A"
Mount Simulator.GEOGRAPHIC_COORDINATES.LATITUDE = 0.000000
Mount Simulator.GEOGRAPHIC_COORDINATES.LONGITUDE = 0.000000
Mount Simulator.GEOGRAPHIC_COORDINATES.ELEVATION = 0.000000
Mount Simulator.MOUNT_LST_TIME.TIME = 8.678484
Mount Simulator.MOUNT_PARK.PARKED = ON
Mount Simulator.MOUNT_PARK.UNPARKED = OFF
Mount Simulator.MOUNT_PARK_SET.CURRENT = OFF
Mount Simulator.MOUNT_PARK_SET.DEFAULT = OFF
Mount Simulator.MOUNT_PARK_POSITION.HA = 6.000000
Mount Simulator.MOUNT_PARK_POSITION.DEC = 90.000000
Mount Simulator.MOUNT_HOME.HOME = OFF
Mount Simulator.MOUNT_HOME_SET.CURRENT = OFF
Mount Simulator.MOUNT_HOME_SET.DEFAULT = OFF
Mount Simulator.MOUNT_HOME_POSITION.HA = 6.000000
Mount Simulator.MOUNT_HOME_POSITION.DEC = 90.000000
Mount Simulator.MOUNT_SLEW_RATE.GUIDE = ON
Mount Simulator.MOUNT_SLEW_RATE.CENTERING = OFF
Mount Simulator.MOUNT_SLEW_RATE.FIND = OFF
Mount Simulator.MOUNT_SLEW_RATE.MAX = OFF
Mount Simulator.MOUNT_MOTION_DEC.NORTH = OFF
Mount Simulator.MOUNT_MOTION_DEC.SOUTH = OFF
Mount Simulator.MOUNT_MOTION_RA.WEST = OFF
Mount Simulator.MOUNT_MOTION_RA.EAST = OFF
Mount Simulator.MOUNT_TRACK_RATE.SIDEREAL = ON
Mount Simulator.MOUNT_TRACK_RATE.SOLAR = OFF
Mount Simulator.MOUNT_TRACK_RATE.LUNAR = OFF
Mount Simulator.MOUNT_TRACK_RATE.KING = OFF
Mount Simulator.MOUNT_TRACK_RATE.CUSTOM = OFF
Mount Simulator.MOUNT_CUSTOM_TRACKING_RATE.RATE = 0.000000
Mount Simulator.MOUNT_TRACKING.ON = OFF
Mount Simulator.MOUNT_TRACKING.OFF = ON
Mount Simulator.MOUNT_GUIDE_RATE.RA = 50.000000
Mount Simulator.MOUNT_GUIDE_RATE.DEC = 50.000000
Mount Simulator.MOUNT_ON_COORDINATES_SET.TRACK = ON
Mount Simulator.MOUNT_ON_COORDINATES_SET.SYNC = OFF
Mount Simulator.MOUNT_EQUATORIAL_COORDINATES.RA = 2.678484
Mount Simulator.MOUNT_EQUATORIAL_COORDINATES.DEC = 90.000000
Mount Simulator.MOUNT_HORIZONTAL_COORDINATES.AZ = 0.108603
Mount Simulator.MOUNT_HORIZONTAL_COORDINATES.ALT = 0.091174
Mount Simulator.MOUNT_TARGET_INFO.RISE_TIME = 0.000000
Mount Simulator.MOUNT_TARGET_INFO.TRANSIT_TIME = 17.998583
Mount Simulator.MOUNT_TARGET_INFO.SET_TIME = 24.000000
Mount Simulator.MOUNT_TARGET_INFO.TIME_TO_TRANSIT = 3.323297
Mount Simulator.MOUNT_ABORT_MOTION.ABORT_MOTION = OFF
Mount Simulator.MOUNT_ALIGNMENT_MODE.SINGLE_POINT = OFF
Mount Simulator.MOUNT_ALIGNMENT_MODE.NEAREST_POINT = OFF
Mount Simulator.MOUNT_ALIGNMENT_MODE.MULTI_POINT = OFF
Mount Simulator.MOUNT_ALIGNMENT_MODE.CONTROLLER = ON
Mount Simulator.MOUNT_EPOCH.EPOCH = 2000.000000
Mount Simulator.MOUNT_SIDE_OF_PIER.EAST = ON
Mount Simulator.MOUNT_SIDE_OF_PIER.WEST = OFF
Mount Simulator.SNOOP_DEVICES.JOYSTICK = ""
Mount Simulator.SNOOP_DEVICES.GPS = ""
Mount Simulator.INFO.DEVICE_NAME = "Mount Simulator"
Mount Simulator.INFO.DEVICE_DRIVER = "indigo_mount_simulator"
Mount Simulator.INFO.DEVICE_VERSION = "2.0.0.10"
Mount Simulator.INFO.DEVICE_INTERFACE = "1"
Mount Simulator.SIMULATION.ENABLED = ON
Mount Simulator.SIMULATION.DISABLED = OFF
Mount Simulator.CONFIG.LOAD = OFF
Mount Simulator.CONFIG.SAVE = OFF
Mount Simulator.CONFIG.REMOVE = OFF
Mount Simulator.PROFILE_NAME.NAME_0 = "Profile #0"
Mount Simulator.PROFILE_NAME.NAME_1 = "Profile #1"
Mount Simulator.PROFILE_NAME.NAME_2 = "Profile #2"
Mount Simulator.PROFILE_NAME.NAME_3 = "Profile #3"
Mount Simulator.PROFILE_NAME.NAME_4 = "Profile #4"
Mount Simulator.PROFILE.PROFILE_0 = ON
Mount Simulator.PROFILE.PROFILE_1 = OFF
Mount Simulator.PROFILE.PROFILE_2 = OFF
Mount Simulator.PROFILE.PROFILE_3 = OFF
Mount Simulator.PROFILE.PROFILE_4 = OFF
Mount Simulator.AUTHENTICATION.PASSWORD = ""
Mount Simulator.ADDITIONAL_INSTANCES.COUNT = 0.000000
Mount Simulator.CONNECTION.CONNECTED = ON
Mount Simulator.CONNECTION.DISCONNECTED = OFF
Mount Simulator (guider).INFO.DEVICE_NAME = "Mount Simulator (guider)"
Mount Simulator (guider).INFO.DEVICE_DRIVER = "indigo_mount_simulator"
Mount Simulator (guider).INFO.DEVICE_VERSION = "2.0.0.10"
Mount Simulator (guider).INFO.DEVICE_INTERFACE = "4"
Mount Simulator (guider).SIMULATION.ENABLED = ON
Mount Simulator (guider).SIMULATION.DISABLED = OFF
Mount Simulator (guider).CONFIG.LOAD = OFF
Mount Simulator (guider).CONFIG.SAVE = OFF
Mount Simulator (guider).CONFIG.REMOVE = OFF
Mount Simulator (guider).PROFILE_NAME.NAME_0 = "Profile #0"
Mount Simulator (guider).PROFILE_NAME.NAME_1 = "Profile #1"
Mount Simulator (guider).PROFILE_NAME.NAME_2 = "Profile #2"
Mount Simulator (guider).PROFILE_NAME.NAME_3 = "Profile #3"
Mount Simulator (guider).PROFILE_NAME.NAME_4 = "Profile #4"
Mount Simulator (guider).PROFILE.PROFILE_0 = ON
Mount Simulator (guider).PROFILE.PROFILE_1 = OFF
Mount Simulator (guider).PROFILE.PROFILE_2 = OFF
Mount Simulator (guider).PROFILE.PROFILE_3 = OFF
Mount Simulator (guider).PROFILE.PROFILE_4 = OFF
Mount Simulator (guider).CONNECTION.CONNECTED = OFF
Mount Simulator (guider).CONNECTION.DISCONNECTED = ON
nSTEP.INFO.DEVICE_NAME = "nSTEP"
nSTEP.INFO.DEVICE_DRIVER = "indigo_focuser_nstep"
nSTEP.INFO.DEVICE_VERSION = "2.0.0.6"
nSTEP.INFO.DEVICE_INTERFACE = "8"
nSTEP.CONFIG.LOAD = OFF
nSTEP.CONFIG.SAVE = OFF
nSTEP.CONFIG.REMOVE = OFF
nSTEP.PROFILE_NAME.NAME_0 = "Profile #0"
nSTEP.PROFILE_NAME.NAME_1 = "Profile #1"
nSTEP.PROFILE_NAME.NAME_2 = "Profile #2"
nSTEP.PROFILE_NAME.NAME_3 = "Profile #3"
nSTEP.PROFILE_NAME.NAME_4 = "Profile #4"
nSTEP.PROFILE.PROFILE_0 = ON
nSTEP.PROFILE.PROFILE_1 = OFF
nSTEP.PROFILE.PROFILE_2 = OFF
nSTEP.PROFILE.PROFILE_3 = OFF
nSTEP.PROFILE.PROFILE_4 = OFF
nSTEP.DEVICE_PORT.PORT = "/dev/usb_focuser"
nSTEP.DEVICE_PORTS.REFRESH = OFF
nSTEP.ADDITIONAL_INSTANCES.COUNT = 0.000000
nSTEP.CONNECTION.CONNECTED = OFF
nSTEP.CONNECTION.DISCONNECTED = ON
Mount Simulator.MOUNT_HORIZONTAL_COORDINATES.AZ = 0.108596
Mount Simulator.MOUNT_HORIZONTAL_COORDINATES.ALT = 0.091182
Mount Simulator.MOUNT_TARGET_INFO.RISE_TIME = 0.000000
Mount Simulator.MOUNT_TARGET_INFO.TRANSIT_TIME = 17.998583
Mount Simulator.MOUNT_TARGET_INFO.SET_TIME = 24.000000
Mount Simulator.MOUNT_TARGET_INFO.TIME_TO_TRANSIT = 3.323019
Mount Simulator.MOUNT_LST_TIME.TIME = 8.678762
Mount Simulator.MOUNT_EQUATORIAL_COORDINATES.RA = 2.678762
Mount Simulator.MOUNT_EQUATORIAL_COORDINATES.DEC = 90.000000
Mount Simulator.MOUNT_HORIZONTAL_COORDINATES.AZ = 0.108590
Mount Simulator.MOUNT_HORIZONTAL_COORDINATES.ALT = 0.091190
Mount Simulator.MOUNT_TARGET_INFO.RISE_TIME = 0.000000
Mount Simulator.MOUNT_TARGET_INFO.TRANSIT_TIME = 17.998583
Mount Simulator.MOUNT_TARGET_INFO.SET_TIME = 24.000000
Mount Simulator.MOUNT_TARGET_INFO.TIME_TO_TRANSIT = 3.322741
Mount Simulator.MOUNT_LST_TIME.TIME = 8.679041
Mount Simulator.MOUNT_EQUATORIAL_COORDINATES.RA = 2.679041
Mount Simulator.MOUNT_EQUATORIAL_COORDINATES.DEC = 90.000000
